date,open,high,low,close,volume,amount,code
2024-04-23,12.27614508,12.47739336,12.20906232,12.298506,330912967,1827802629.43,601398
2024-04-24,12.298506,12.34322784,12.20906232,12.23142324,236025975,1292875949.28,601398
2024-04-25,12.25378416,12.298506,12.1867014,12.27614508,165074556,903595425.34,601398
2024-04-26,12.27614508,12.38794968,12.05253588,12.0748968,471033131,2563059301.26,601398
2024-04-29,12.05253588,12.16434048,11.94073128,12.03017496,349015064,1882123563.21,601398
2024-04-30,12.00781404,12.1867014,11.98545312,12.14197956,260174383,1410153798.77,601398
2024-05-06,12.1867014,12.23142324,11.98545312,12.00781404,405871400,2189241442.19,601398
2024-05-07,12.00781404,12.09725772,11.9630922,12.0748968,278163143,1495708239.99,601398
2024-05-08,12.0748968,12.1867014,12.03017496,12.09725772,296767233,1608594647.3,601398
2024-05-09,12.0748968,12.09725772,12.00781404,12.03017496,240195598,1293993946.34,601398
2024-05-10,12.05253588,12.11961864,12.03017496,12.0748968,264686114,1429642027.39,601398
2024-05-13,12.0748968,12.14197956,11.98545312,12.09725772,239093956,1289851740.3,601398
2024-05-14,12.09725772,12.09725772,11.98545312,12.00781404,257866693,1387229377.99,601398
2024-05-15,12.00781404,12.05253588,11.98545312,12.03017496,142708145,766846437.15,601398
2024-05-16,12.00781404,12.11961864,11.98545312,12.09725772,297188855,1603335345.67,601398
2024-05-17,12.09725772,12.23142324,12.05253588,12.23142324,383001626,2079470079.92,601398
2024-05-20,12.23142324,12.36558876,12.16434048,12.20906232,331820267,1817190584.84,601398
2024-05-21,12.20906232,12.32086692,12.16434048,12.298506,273676042,1498524385.88,601398
2024-05-22,12.298506,12.38794968,12.27614508,12.32086692,245844077,1356650239.52,601398
2024-05-23,12.34322784,12.36558876,12.23142324,12.27614508,224162538,1231956386.58,601398
2024-05-24,12.27614508,12.32086692,12.16434048,12.16434048,226186085,1238699583.99,601398
2024-05-27,12.1867014,12.27614508,12.16434048,12.25378416,215568186,1178996873.65,601398
2024-05-28,12.25378416,12.32086692,12.20906232,12.27614508,195724015,1074148916.08,601398
2024-05-29,12.27614508,12.32086692,12.1867014,12.23142324,227719946,1247889692.1,601398
2024-05-30,12.23142324,12.25378416,12.11961864,12.16434048,223985068,1219754897.43,601398
2024-05-31,12.1867014,12.23142324,12.14197956,12.14197956,203742314,1110323552.33,601398
2024-06-03,12.14197956,12.1867014,12.09725772,12.16434048,215772721,1171716313.54,601398
